s,o
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_1,http://www.iiitd.ac.in/meetupgroups#URL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_1,http://www.iiitd.ac.in/meetupgroups#BaseURL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_1,http://www.w3.org/2000/01/rdf-schema#Resource
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_2,http://www.iiitd.ac.in/meetupgroups#URL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_2,http://www.iiitd.ac.in/meetupgroups#BaseURL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_2,http://www.w3.org/2000/01/rdf-schema#Resource
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_3,http://www.iiitd.ac.in/meetupgroups#URL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_3,http://www.iiitd.ac.in/meetupgroups#BaseURL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_3,http://www.w3.org/2000/01/rdf-schema#Resource
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_4,http://www.iiitd.ac.in/meetupgroups#URL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_4,http://www.iiitd.ac.in/meetupgroups#BaseURL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_4,http://www.w3.org/2000/01/rdf-schema#Resource
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_5,http://www.iiitd.ac.in/meetupgroups#URL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_5,http://www.iiitd.ac.in/meetupgroups#BaseURL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_5,http://www.w3.org/2000/01/rdf-schema#Resource
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_6,http://www.iiitd.ac.in/meetupgroups#URL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_6,http://www.iiitd.ac.in/meetupgroups#BaseURL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_6,http://www.w3.org/2000/01/rdf-schema#Resource
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_7,http://www.iiitd.ac.in/meetupgroups#URL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_7,http://www.iiitd.ac.in/meetupgroups#BaseURL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_7,http://www.w3.org/2000/01/rdf-schema#Resource
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_8,http://www.iiitd.ac.in/meetupgroups#URL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_8,http://www.iiitd.ac.in/meetupgroups#BaseURL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_8,http://www.w3.org/2000/01/rdf-schema#Resource
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_9,http://www.iiitd.ac.in/meetupgroups#URL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_9,http://www.iiitd.ac.in/meetupgroups#BaseURL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_9,http://www.w3.org/2000/01/rdf-schema#Resource
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_10,http://www.iiitd.ac.in/meetupgroups#URL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_10,http://www.iiitd.ac.in/meetupgroups#BaseURL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_10,http://www.w3.org/2000/01/rdf-schema#Resource
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_11,http://www.iiitd.ac.in/meetupgroups#URL
