s,o
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_11,http://www.iiitd.ac.in/meetupgroups#BaseURL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_11,http://www.w3.org/2000/01/rdf-schema#Resource
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_12,http://www.iiitd.ac.in/meetupgroups#URL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_12,http://www.iiitd.ac.in/meetupgroups#BaseURL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_12,http://www.w3.org/2000/01/rdf-schema#Resource
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_13,http://www.iiitd.ac.in/meetupgroups#URL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_13,http://www.iiitd.ac.in/meetupgroups#BaseURL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_13,http://www.w3.org/2000/01/rdf-schema#Resource
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_14,http://www.iiitd.ac.in/meetupgroups#URL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_14,http://www.iiitd.ac.in/meetupgroups#BaseURL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_14,http://www.w3.org/2000/01/rdf-schema#Resource
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_15,http://www.iiitd.ac.in/meetupgroups#URL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_15,http://www.iiitd.ac.in/meetupgroups#BaseURL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_15,http://www.w3.org/2000/01/rdf-schema#Resource
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_16,http://www.iiitd.ac.in/meetupgroups#URL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_16,http://www.iiitd.ac.in/meetupgroups#BaseURL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_16,http://www.w3.org/2000/01/rdf-schema#Resource
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_17,http://www.iiitd.ac.in/meetupgroups#URL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_17,http://www.iiitd.ac.in/meetupgroups#BaseURL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_17,http://www.w3.org/2000/01/rdf-schema#Resource
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_18,http://www.iiitd.ac.in/meetupgroups#URL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_18,http://www.iiitd.ac.in/meetupgroups#BaseURL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_18,http://www.w3.org/2000/01/rdf-schema#Resource
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_19,http://www.iiitd.ac.in/meetupgroups#URL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_19,http://www.iiitd.ac.in/meetupgroups#BaseURL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_19,http://www.w3.org/2000/01/rdf-schema#Resource
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_20,http://www.iiitd.ac.in/meetupgroups#URL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_20,http://www.iiitd.ac.in/meetupgroups#BaseURL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_20,http://www.w3.org/2000/01/rdf-schema#Resource
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_21,http://www.iiitd.ac.in/meetupgroups#URL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_21,http://www.iiitd.ac.in/meetupgroups#BaseURL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_21,http://www.w3.org/2000/01/rdf-schema#Resource
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_22,http://www.iiitd.ac.in/meetupgroups#URL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_22,http://www.iiitd.ac.in/meetupgroups#BaseURL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_22,http://www.w3.org/2000/01/rdf-schema#Resource
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_23,http://www.iiitd.ac.in/meetupgroups#URL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_23,http://www.iiitd.ac.in/meetupgroups#BaseURL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_23,http://www.w3.org/2000/01/rdf-schema#Resource
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_24,http://www.iiitd.ac.in/meetupgroups#URL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_24,http://www.iiitd.ac.in/meetupgroups#BaseURL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_24,http://www.w3.org/2000/01/rdf-schema#Resource
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_25,http://www.iiitd.ac.in/meetupgroups#URL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_25,http://www.iiitd.ac.in/meetupgroups#BaseURL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_25,http://www.w3.org/2000/01/rdf-schema#Resource
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_26,http://www.iiitd.ac.in/meetupgroups#URL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_26,http://www.iiitd.ac.in/meetupgroups#BaseURL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_26,http://www.w3.org/2000/01/rdf-schema#Resource
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_27,http://www.iiitd.ac.in/meetupgroups#URL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_27,http://www.iiitd.ac.in/meetupgroups#BaseURL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_27,http://www.w3.org/2000/01/rdf-schema#Resource
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_28,http://www.iiitd.ac.in/meetupgroups#URL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_28,http://www.iiitd.ac.in/meetupgroups#BaseURL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_28,http://www.w3.org/2000/01/rdf-schema#Resource
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_29,http://www.iiitd.ac.in/meetupgroups#URL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_29,http://www.iiitd.ac.in/meetupgroups#BaseURL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_29,http://www.w3.org/2000/01/rdf-schema#Resource
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_30,http://www.iiitd.ac.in/meetupgroups#URL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_30,http://www.iiitd.ac.in/meetupgroups#BaseURL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_30,http://www.w3.org/2000/01/rdf-schema#Resource
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_31,http://www.iiitd.ac.in/meetupgroups#URL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_31,http://www.iiitd.ac.in/meetupgroups#BaseURL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_31,http://www.w3.org/2000/01/rdf-schema#Resource
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_32,http://www.iiitd.ac.in/meetupgroups#URL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_32,http://www.iiitd.ac.in/meetupgroups#BaseURL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_32,http://www.w3.org/2000/01/rdf-schema#Resource
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_33,http://www.iiitd.ac.in/meetupgroups#URL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_33,http://www.iiitd.ac.in/meetupgroups#BaseURL
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_33,http://www.w3.org/2000/01/rdf-schema#Resource
http://www.iiitd.ac.in/meetupgroups#GroupPhoto_34,http://www.iiitd.ac.in/meetupgroups#URL
